月日,曜日,ホーム,ホーム得点,備考,ビジター得点,ビジター,球場,開始時間,開始時間（分）,勝ち投手,負け投手
9/23,水,巨人,7,-,3,広島,東京ドーム,18,0,田口,野村
9/23,水,中日,11,-,5,ヤクルト,ナゴヤドーム,18,0,又吉,歳内
9/23,水,阪神,0,-,4,DeNA,甲子園,18,0,上茶谷,青柳
9/23,水,楽天,5,-,3,ロッテ,楽天生命パーク,18,0,涌井,唐川
9/23,水,西武,6,-,5,日本ハム,メットライフ,18,0,浜屋,バーヘイゲン
9/23,水,ソフトバンク,5,-,10,オリックス,PayPayドーム,18,0,田嶋,武田
9/24,木,楽天,3,-,0,ロッテ,楽天生命パーク,18,0,松井,岩下
9/24,木,西武,2,-,12,日本ハム,メットライフ,18,0,上原,伊藤
9/24,木,ソフトバンク,3,-,3,オリックス,PayPayドーム,18,0,高橋礼,富山
9/25,金,巨人,8,-,4,中日,東京ドーム,18,0,サンチェス,柳
9/25,金,ヤクルト,6,-,3,阪神,神　宮,18,0,梅野,西勇
9/25,金,広島,5,-,3,DeNA,マツダスタジアム,18,0,床田,井納
9/25,金,西武,5,-,4,楽天,メットライフ,18,0,森脇,牧田
9/25,金,ロッテ,7,-,4,ソフトバンク,ZOZOマリン,18,0,二木,ムーア
9/25,金,オリックス,9,-,2,日本ハム,京セラD大阪,18,0,山岡,マルティネス
9/26,土,巨人,2,-,3,中日,東京ドーム,14,0,祖父江,大竹
9/26,土,ヤクルト,2,-,1,阪神,神　宮,18,30,スアレス,藤浪
9/26,土,広島,2,-,5,DeNA,マツダスタジアム,14,0,濵口,森下
9/26,土,西武,5,-,1,楽天,メットライフ,14,0,森脇,酒居
9/26,土,ロッテ,3,-,7,ソフトバンク,ZOZOマリン,14,0,東浜,中村稔
9/26,土,オリックス,5,-,6,日本ハム,京セラD大阪,14,0,宮西,山田
9/27,日,巨人,5,-,1,中日,東京ドーム,14,0,戸郷,松葉
9/27,日,ヤクルト,3,-,9,阪神,神　宮,18,30,秋山,吉田大喜
9/27,日,広島,1,-,3,DeNA,マツダスタジアム,13,30,大貫,中村祐
9/27,日,西武,6,-,2,楽天,メットライフ,13,0,松本,瀧中
9/27,日,ロッテ,8,-,4,ソフトバンク,ZOZOマリン,13,0,美馬,二保
9/27,日,オリックス,12,-,8,日本ハム,京セラD大阪,13,0,山﨑福,加藤
9/28,月,広島,4,-,0,DeNA,マツダスタジアム,18,0,九里,京山
9/29,火,DeNA,8,-,4,ヤクルト,横　浜,18,0,坂本,小川
9/29,火,阪神,7,-,3,中日,甲子園,18,0,髙橋,勝野
9/29,火,広島,1,-,6,巨人,マツダスタジアム,18,0,菅野,遠藤
9/29,火,日本ハム,3,-,4,ロッテ,札幌ドーム,18,0,石川,上沢
9/29,火,楽天,2,-,6,ソフトバンク,楽天生命パーク,18,0,千賀,則本昂
9/29,火,オリックス,3,-,0,西武,京セラD大阪,18,0,山本,髙橋光
9/30,水,DeNA,3,-,5,ヤクルト,横　浜,18,0,石川,上茶谷
9/30,水,阪神,0,-,9,中日,甲子園,18,0,大野雄,青柳
9/30,水,広島,4,-,1,巨人,マツダスタジアム,18,0,野村,田口
9/30,水,日本ハム,1,-,2,ロッテ,札幌ドーム,18,0,小島,バーヘイゲン
9/30,水,楽天,9,-,3,ソフトバンク,楽天生命パーク,18,0,涌井,武田
9/30,水,オリックス,5,-,0,西武,京セラD大阪,18,0,増井,浜屋
10/1,木,DeNA,0,-,2,ヤクルト,横　浜,18,0,歳内,武藤
10/1,木,阪神,2,-,0,中日,甲子園,18,0,岩田,ロドリゲス
10/1,木,広島,3,-,5,巨人,マツダスタジアム,18,0,サンチェス,スコット
10/1,木,日本ハム,3,-,2,ロッテ,札幌ドーム,18,0,杉浦,岩下
10/1,木,楽天,1,-,4,ソフトバンク,楽天生命パーク,18,0,石川,松井
10/1,木,オリックス,6,-,7,西武,京セラD大阪,18,0,宮川,ヒギンス
10/2,金,ヤクルト,5,-,7,広島,神　宮,18,0,床田,クック
10/2,金,DeNA,5,-,8,中日,横　浜,18,0,福,石田
10/2,金,阪神,4,-,1,巨人,甲子園,18,0,西勇,今村
10/2,金,ロッテ,0,-,1,西武,ZOZOマリン,18,0,増田,澤村
10/2,金,オリックス,0,-,4,楽天,京セラD大阪,18,0,松井,富山
10/2,金,ソフトバンク,7,-,5,日本ハム,PayPayドーム,18,0,ムーア,上原
10/3,土,ヤクルト,2,-,13,広島,神　宮,18,30,森下,スアレス
10/3,土,DeNA,7,-,9,中日,横　浜,14,0,福谷,濵口
10/3,土,阪神,4,-,7,巨人,甲子園,14,0,畠,ガンケル
10/3,土,ロッテ,6,-,3,西武,ZOZOマリン,14,0,唐川,森脇
10/3,土,オリックス,3,-,5,楽天,京セラD大阪,14,0,寺岡,齋藤
10/3,土,ソフトバンク,2,-,1,日本ハム,PayPayドーム,18,0,東浜,有原
10/4,日,ヤクルト,4,-,6,広島,神　宮,18,30,中村祐,吉田大喜
10/4,日,DeNA,9,-,3,中日,横　浜,14,0,大貫,松葉
10/4,日,阪神,1,-,7,巨人,甲子園,14,0,大江,秋山
10/4,日,ロッテ,8,-,1,西武,ZOZOマリン,13,0,美馬,松本
10/4,日,オリックス,9,-,2,楽天,京セラD大阪,13,0,山田,寺岡
10/4,日,ソフトバンク,8,-,4,日本ハム,PayPayドーム,14,0,和田,河野
10/5,月,阪神,6,-,1,巨人,甲子園,18,0,髙橋,桜井
10/6,火,巨人,6,-,4,DeNA,東京ドーム,18,0,菅野,坂本
10/6,火,中日,4,-,0,ヤクルト,ナゴヤドーム,18,0,勝野,久保
10/6,火,広島,4,-,4,阪神,マツダスタジアム,18,0,中田,スアレス
10/6,火,日本ハム,5,-,3,楽天,札幌ドーム,18,0,上沢,則本昂
10/6,火,西武,3,-,1,ソフトバンク,メットライフ,18,0,髙橋光,千賀
10/6,火,ロッテ,0,-,3,オリックス,ZOZOマリン,18,0,山本,石川
10/7,水,巨人,3,-,6,DeNA,東京ドーム,18,0,平田,田口
10/7,水,中日,4,-,1,ヤクルト,ナゴヤドーム,18,0,大野雄,石川
10/7,水,広島,9,-,3,阪神,マツダスタジアム,18,0,遠藤,岩田
10/7,水,日本ハム,2,-,2,楽天,札幌ドーム,18,0,西村,寺岡
10/7,水,西武,4,-,3,ソフトバンク,メットライフ,18,0,平良,モイネロ
10/7,水,ロッテ,4,-,1,オリックス,ZOZOマリン,18,0,小島,アルバース
10/8,木,巨人,9,-,7,DeNA,東京ドーム,18,0,サンチェス,井納
10/8,木,広島,1,-,9,阪神,マツダスタジアム,18,0,西勇,野村
10/8,木,日本ハム,1,-,4,楽天,札幌ドーム,18,0,岸,マルティネス
10/8,木,西武,4,-,4,ソフトバンク,メットライフ,18,0,ギャレット,高橋礼
10/8,木,ロッテ,,中止,,オリックス,ZOZOマリン,18,0,,
10/9,金,阪神,,中止,,DeNA,甲子園,18,0,,
10/9,金,広島,7,-,12,ヤクルト,マツダスタジアム,18,0,梅野,中田
10/9,金,日本ハム,4,-,6,オリックス,札幌ドーム,18,0,田嶋,杉浦
10/9,金,楽天,2,-,5,西武,楽天生命パーク,18,0,ニール,塩見
10/9,金,ソフトバンク,1,-,3,ロッテ,PayPayドーム,18,0,二木,ムーア
10/10,土,中日,1,-,7,巨人,ナゴヤドーム,14,0,畠,ロドリゲス
10/10,土,阪神,3,-,5,DeNA,甲子園,14,0,伊勢,ガンケル
10/10,土,広島,3,-,0,ヤクルト,マツダスタジアム,18,0,森下,スアレス
10/10,土,日本ハム,4,-,0,オリックス,札幌ドーム,14,0,有原,山岡
10/10,土,楽天,,ノーゲーム,,西武,楽天生命パーク,14,0,,
10/10,土,ソフトバンク,5,-,1,ロッテ,PayPayドーム,14,0,東浜,中村稔
10/11,日,中日,7,-,0,巨人,ナゴヤドーム,14,0,清水,戸郷
10/11,日,阪神,4,-,3,DeNA,甲子園,14,0,秋山,上茶谷
10/11,日,広島,7,-,4,ヤクルト,マツダスタジアム,13,30,中村祐,小川
10/11,日,日本ハム,5,-,7,オリックス,札幌ドーム,14,0,増井,上原
10/11,日,楽天,8,-,2,西武,楽天生命パーク,13,0,瀧中,松本
10/11,日,ソフトバンク,3,-,0,ロッテ,PayPayドーム,13,0,和田,美馬
10/12,月,中日,3,-,2,巨人,ナゴヤドーム,18,0,福谷,桜井
10/12,月,楽天,,中止,,西武,楽天生命パーク,17,0,,
10/13,火,巨人,3,-,4,広島,東京ドーム,18,0,九里,菅野
10/13,火,ヤクルト,1,-,8,DeNA,神　宮,18,0,大貫,高梨
10/13,火,中日,4,-,2,阪神,ナゴヤドーム,18,0,勝野,髙橋
10/13,火,日本ハム,0,-,7,西武,札幌ドーム,18,0,髙橋光,上沢
10/13,火,ロッテ,4,-,3,楽天,ZOZOマリン,18,0,益田,ブセニッツ
10/13,火,オリックス,0,-,2,ソフトバンク,京セラD大阪,18,0,笠谷,山本
10/14,水,巨人,6,-,1,広島,東京ドーム,18,0,髙橋,遠藤
10/14,水,ヤクルト,6,-,9,DeNA,神　宮,18,0,坂本,石川
10/14,水,中日,3,-,0,阪神,ナゴヤドーム,18,0,大野雄,青柳
10/14,水,日本ハム,7,-,2,西武,札幌ドーム,18,0,バーヘイゲン,浜屋
10/14,水,ロッテ,1,-,4,楽天,ZOZOマリン,18,0,涌井,チェン・ウェイン
10/14,水,オリックス,0,-,4,ソフトバンク,京セラD大阪,18,0,千賀,山﨑福
10/15,木,巨人,5,-,5,広島,東京ドーム,18,0,鍵谷,フランスア
10/15,木,ヤクルト,4,-,3,DeNA,神　宮,18,0,吉田大喜,平良
10/15,木,中日,5,-,3,阪神,ナゴヤドーム,18,0,藤嶋,スアレス
10/15,木,日本ハム,8,-,3,西武,札幌ドーム,18,0,マルティネス,ニール
10/15,木,ロッテ,0,-,6,楽天,ZOZOマリン,18,0,岸,小島
10/15,木,オリックス,4,-,9,ソフトバンク,京セラD大阪,18,0,石川,田嶋
10/16,金,DeNA,2,-,1,巨人,横　浜,18,0,パットン,ビエイラ
10/16,金,阪神,5,-,0,ヤクルト,甲子園,18,0,西勇,歳内
10/16,金,広島,6,-,8,中日,マツダスタジアム,18,0,ロドリゲス,床田
10/16,金,西武,2,-,1,オリックス,メットライフ,18,0,宮川,山岡
10/16,金,ロッテ,5,-,1,日本ハム,ZOZOマリン,18,0,二木,杉浦
10/16,金,ソフトバンク,7,-,3,楽天,PayPayドーム,18,0,ムーア,塩見
10/17,土,DeNA,,中止,,巨人,横　浜,14,0,,
10/17,土,阪神,,中止,,ヤクルト,甲子園,14,0,,
10/17,土,広島,2,-,5,中日,マツダスタジアム,14,0,柳,塹江
10/17,土,西武,1,-,4,オリックス,メットライフ,14,0,張,十亀
10/17,土,ロッテ,,中止,,日本ハム,ZOZOマリン,14,0,,
10/17,土,ソフトバンク,5,-,0,楽天,PayPayドーム,14,0,東浜,石橋
10/18,日,DeNA,10,-,6,巨人,横　浜,14,0,エスコバー,高梨
10/18,日,阪神,6,-,5,ヤクルト,甲子園,14,0,秋山,小川
10/18,日,広島,5,-,0,中日,マツダスタジアム,13,30,中村祐,清水
10/18,日,西武,3,-,2,オリックス,メットライフ,13,0,松本,宮城
10/18,日,ロッテ,2,-,5,日本ハム,ZOZOマリン,13,0,有原,美馬
10/18,日,ソフトバンク,11,-,4,楽天,PayPayドーム,13,0,モイネロ,牧田
10/19,月,阪神,1,-,1,ヤクルト,甲子園,18,0,桑原,梅野
10/19,月,ロッテ,,中止,,日本ハム,ZOZOマリン,18,0,,
10/20,火,ヤクルト,1,-,1,巨人,神　宮,18,0,石山,ビエイラ
10/20,火,中日,6,-,1,DeNA,ナゴヤドーム,18,0,福谷,大貫
10/20,火,阪神,1,-,5,広島,甲子園,18,0,九里,ガルシア
10/20,火,日本ハム,2,-,11,ソフトバンク,札幌ドーム,18,0,笠谷,上沢
10/20,火,楽天,2,-,2,オリックス,楽天生命パーク,18,0,牧田,ディクソン
10/20,火,西武,2,-,1,ロッテ,メットライフ,18,0,増田,益田
10/21,水,ヤクルト,2,-,1,巨人,神　宮,18,0,石川,髙橋
10/21,水,中日,4,-,2,DeNA,ナゴヤドーム,18,0,谷元,エスコバー
10/21,水,阪神,2,-,0,広島,甲子園,18,0,青柳,遠藤
10/21,水,日本ハム,1,-,9,ソフトバンク,札幌ドーム,18,0,千賀,バーヘイゲン
10/21,水,楽天,5,-,6,オリックス,楽天生命パーク,18,0,ヒギンス,松井
10/21,水,西武,2,-,1,ロッテ,メットライフ,18,0,増田,益田
10/22,木,ヤクルト,0,-,6,巨人,神　宮,18,0,サンチェス,吉田大喜
10/22,木,中日,1,-,0,DeNA,ナゴヤドーム,18,0,大野雄,平良
10/22,木,阪神,5,-,9,広島,甲子園,18,0,薮田,岩田
10/22,木,日本ハム,2,-,4,ソフトバンク,札幌ドーム,18,0,ムーア,吉田輝
10/22,木,楽天,6,-,3,オリックス,楽天生命パーク,18,0,岸,田嶋
10/22,木,西武,7,-,4,ロッテ,メットライフ,18,0,ニール,小島
10/23,金,巨人,5,-,4,阪神,東京ドーム,18,0,今村,西勇
10/23,金,ヤクルト,3,-,4,中日,神　宮,18,0,又吉,梅野
10/23,金,DeNA,2,-,0,広島,横　浜,18,0,京山,床田
10/23,金,楽天,4,-,4,日本ハム,楽天生命パーク,18,0,ジョンソン,加藤
10/23,金,オリックス,7,-,2,ロッテ,京セラD大阪,18,0,山岡,二木
10/23,金,ソフトバンク,8,-,1,西武,PayPayドーム,18,0,石川,今井
10/24,土,巨人,1,-,2,阪神,東京ドーム,14,0,髙橋,菅野
10/24,土,ヤクルト,9,-,5,中日,神　宮,18,30,小川,松葉
10/24,土,DeNA,1,-,2,広島,横　浜,14,0,森下,平田
10/24,土,楽天,4,-,5,日本ハム,楽天生命パーク,14,0,堀,ブセニッツ
10/24,土,オリックス,3,-,0,ロッテ,京セラD大阪,14,0,アルバース,古谷
10/24,土,ソフトバンク,1,-,4,西武,PayPayドーム,14,0,森脇,モイネロ
10/25,日,巨人,2,-,4,阪神,東京ドーム,14,0,秋山,畠
10/25,日,ヤクルト,1,-,5,中日,神　宮,18,30,柳,スアレス
10/25,日,DeNA,3,-,0,広島,横　浜,14,0,伊勢,中村祐
10/25,日,楽天,13,-,4,日本ハム,楽天生命パーク,13,0,瀧中,有原
10/25,日,オリックス,1,-,10,ロッテ,京セラD大阪,13,0,岩下,張
10/25,日,ソフトバンク,7,-,2,西武,PayPayドーム,13,0,大竹,松本
10/27,火,DeNA,9,-,2,巨人,横　浜,18,0,大貫,戸郷
10/27,火,阪神,4,-,1,中日,甲子園,18,0,岩崎,福
10/27,火,広島,2,-,0,ヤクルト,マツダスタジアム,18,0,九里,高梨
10/27,火,西武,4,-,3,楽天,メットライフ,18,0,髙橋光,則本昂
10/27,火,オリックス,3,-,5,日本ハム,京セラD大阪,18,0,加藤,榊原
10/27,火,ソフトバンク,5,-,1,ロッテ,PayPayドーム,18,0,和田,石川
10/28,水,DeNA,10,-,6,巨人,横　浜,18,0,伊勢,髙橋
10/28,水,阪神,9,-,1,中日,甲子園,18,0,岩貞,勝野
10/28,水,広島,3,-,2,ヤクルト,マツダスタジアム,18,0,遠藤,石川
10/28,水,西武,4,-,3,楽天,メットライフ,18,0,浜屋,涌井
10/28,水,オリックス,0,-,1,日本ハム,京セラD大阪,18,0,バーヘイゲン,ディクソン
10/28,水,ソフトバンク,2,-,0,ロッテ,PayPayドーム,18,0,千賀,チェン・ウェイン
10/29,木,DeNA,5,-,2,巨人,横　浜,18,0,平良,サンチェス
10/29,木,阪神,3,-,1,中日,甲子園,18,0,西勇,大野雄
10/29,木,広島,3,-,3,ヤクルト,マツダスタジアム,18,0,中田,石山
10/29,木,日本ハム,4,-,3,オリックス,札幌ドーム,18,0,杉浦,山田
10/29,木,西武,5,-,13,楽天,メットライフ,18,0,辛島,ニール
10/29,木,ソフトバンク,4,-,3,ロッテ,PayPayドーム,18,0,嘉弥真,益田
10/30,金,巨人,3,-,3,ヤクルト,東京ドーム,18,0,ビエイラ,石山
10/30,金,DeNA,3,-,3,阪神,横　浜,18,0,三嶋,岩貞
10/30,金,中日,3,-,17,広島,ナゴヤドーム,18,0,床田,谷元
10/30,金,日本ハム,2,-,3,オリックス,札幌ドーム,18,0,山岡,マルティネス
10/30,金,西武,3,-,4,ソフトバンク,メットライフ,18,0,東浜,平井
10/30,金,ロッテ,1,-,2,楽天,ZOZOマリン,18,0,岸,澤村
10/31,土,巨人,6,-,4,ヤクルト,東京ドーム,14,0,菅野,小川
10/31,土,DeNA,5,-,13,阪神,横　浜,14,0,秋山,井納
10/31,土,中日,3,-,9,広島,ナゴヤドーム,14,0,島内,福
10/31,土,日本ハム,6,-,1,オリックス,札幌ドーム,14,0,河野,アルバース
10/31,土,西武,2,-,11,ソフトバンク,メットライフ,14,0,石川,十亀
10/31,土,ロッテ,6,-,3,楽天,ZOZOマリン,14,0,二木,石橋
11/1,日,巨人,2,-,0,ヤクルト,東京ドーム,14,0,畠,スアレス
11/1,日,DeNA,6,-,5,阪神,横　浜,14,0,三嶋,エドワーズ
11/1,日,中日,0,-,3,広島,ナゴヤドーム,14,0,森下,柳
11/1,日,日本ハム,7,-,1,オリックス,札幌ドーム,13,0,有原,本田
11/1,日,西武,3,-,1,ソフトバンク,メットライフ,13,0,松本,笠谷
11/1,日,ロッテ,3,-,3,楽天,ZOZOマリン,13,0,小野,松井
11/2,月,西武,4,-,0,日本ハム,メットライフ,18,0,榎田,生田目
11/3,火,中日,7,-,5,DeNA,ナゴヤドーム,14,0,福谷,大貫
11/3,火,阪神,1,-,4,ヤクルト,甲子園,14,0,梅野,岩貞
11/3,火,広島,2,-,2,巨人,マツダスタジアム,14,0,フランスア,田口
11/3,火,西武,5,-,4,日本ハム,メットライフ,14,0,森脇,玉井
11/3,火,ロッテ,3,-,4,ソフトバンク,ZOZOマリン,14,0,バンデンハーク,石川
11/3,火,オリックス,6,-,3,楽天,京セラD大阪,18,0,山﨑福,則本昂
11/4,水,中日,5,-,4,DeNA,ナゴヤドーム,18,0,祖父江,伊勢
11/4,水,阪神,3,-,2,ヤクルト,甲子園,18,0,スアレス,梅野
11/4,水,広島,5,-,1,巨人,マツダスタジアム,18,0,遠藤,髙橋
11/4,水,西武,10,-,3,日本ハム,メットライフ,18,0,ニール,吉田輝
11/4,水,ロッテ,0,-,2,ソフトバンク,ZOZOマリン,18,0,千賀,チェン・ウェイン
11/4,水,オリックス,8,-,7,楽天,京セラD大阪,18,0,山田,ブセニッツ
11/5,木,中日,2,-,0,DeNA,ナゴヤドーム,18,0,大野雄,平良
11/5,木,阪神,8,-,7,ヤクルト,甲子園,18,0,ガンケル,星
11/5,木,広島,5,-,4,巨人,マツダスタジアム,18,0,ケムナ,田口
11/5,木,ロッテ,6,-,1,ソフトバンク,ZOZOマリン,18,0,美馬,東浜
11/5,木,オリックス,2,-,4,楽天,京セラD大阪,18,0,牧田,張
11/6,金,中日,4,-,5,ヤクルト,ナゴヤドーム,18,0,マクガフ,谷元
11/6,金,楽天,4,-,2,西武,楽天生命パーク,18,0,岸,浜屋
11/6,金,オリックス,4,-,3,日本ハム,京セラD大阪,18,0,宮城,河野
11/7,土,巨人,6,-,2,ヤクルト,東京ドーム,18,0,今村,小川
11/7,土,広島,0,-,2,阪神,マツダスタジアム,14,0,秋山,中村祐
11/7,土,楽天,6,-,6,西武,楽天生命パーク,14,0,松井,増田
11/7,土,ロッテ,4,-,3,オリックス,ZOZOマリン,18,0,二木,榊原
11/8,日,巨人,3,-,5,ヤクルト,東京ドーム,14,0,梅野,田中豊
11/8,日,ロッテ,8,-,2,西武,ZOZOマリン,13,0,岩下,松本
11/9,月,ロッテ,4,-,7,日本ハム,ZOZOマリン,18,0,加藤,フローレス
11/9,月,ソフトバンク,6,-,2,西武,PayPayドーム,18,0,石川,齊藤大
11/10,火,ヤクルト,3,-,7,広島,神　宮,18,0,床田,奥川
11/10,火,阪神,0,-,4,巨人,甲子園,18,0,戸郷,青柳
11/11,水,阪神,1,-,0,DeNA,甲子園,18,0,岩貞,石田
11/11,水,広島,2,-,3,中日,マツダスタジアム,18,0,柳,九里
11/14,土,DeNA,5,-,4,巨人,横　浜,14,0,三嶋,田口
11/14,土,ソフトバンク,4,-,3,ロッテ,PayPayドーム,13,0,モイネロ,澤村
11/15,日,ソフトバンク,6,-,4,ロッテ,PayPayドーム,13,0,モイネロ,チェン・ウェイン