* 左打+ 左右打,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
*,秋山　翔吾,143,671,578,98,171,32,4,11,244,62,18,6,0,6,77,2,10,103,2,0.296,0.422,0.385
,浅村　栄斗,143,611,557,73,172,40,0,24,284,82,8,6,3,6,38,0,7,108,18,0.309,0.510,0.357
*,岩尾　利弘,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,ウルフ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,呉　念庭,43,142,124,12,24,3,1,0,29,11,1,0,0,2,14,0,2,25,4,0.194,0.234,0.282
*,上本　達之,67,98,88,7,27,4,0,1,34,12,0,1,1,1,8,0,0,23,2,0.307,0.386,0.361
*,大石　達也,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,大﨑　雄太朗,4,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.167
,岡田　雅利,47,79,66,3,15,0,0,0,15,5,0,0,2,0,9,0,2,18,2,0.227,0.227,0.338
,岡本　篤志,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,岡本　洋介,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,鬼﨑　裕司,79,216,190,30,48,8,2,1,63,17,1,0,9,0,17,0,0,53,0,0.253,0.332,0.314
,郭　俊麟,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
+,金子　侑司,129,520,460,64,122,12,3,1,143,33,53,17,13,1,40,0,6,69,5,0.265,0.311,0.331
*,菊池　雄星,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
,岸　孝之,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,木村　昇吾,38,108,95,7,21,2,1,0,25,5,3,0,5,2,6,0,0,22,2,0.221,0.263,0.262
,木村　文紀,28,35,30,4,5,1,0,0,6,2,1,0,3,0,2,0,0,12,0,0.167,0.200,0.219
,熊代　聖人,28,9,6,2,1,0,0,0,1,0,0,1,2,0,1,0,0,2,0,0.167,0.167,0.286
*,栗山　巧,135,569,477,52,133,30,2,3,176,41,0,0,0,3,83,0,6,87,9,0.279,0.369,0.390
*,小石　博孝,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,國場　翼,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,斉藤　彰吾,45,13,12,7,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0.000,0.000,0.077
*,坂田　遼,45,161,151,16,37,8,1,3,56,26,0,0,0,2,8,0,0,22,5,0.245,0.371,0.280
*,佐藤　勇,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,佐野　泰雄,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,Ｃ．Ｃ．リー,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,炭谷　銀仁朗,117,326,294,19,64,10,1,1,79,22,0,1,19,0,13,0,0,48,12,0.218,0.269,0.251
,髙橋　光成,22,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.000
*,髙橋　朋己,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,武隈　祥太,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,竹原　直隆,22,31,30,2,6,1,0,1,10,6,0,0,0,0,1,0,0,4,1,0.200,0.333,0.226
*,田代　将太郎,13,5,4,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.250,0.250,0.250
,多和田　真三郎,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000
,十亀　剣,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,外崎　修汰,37,57,51,8,9,0,0,2,15,5,6,0,3,0,3,0,0,11,1,0.176,0.294,0.222
,豊田　拓矢,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,永江　恭平,74,84,74,5,12,1,0,0,13,3,1,2,4,1,5,0,0,24,1,0.162,0.176,0.213
*,中﨑　雄太,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,中村　剛也,108,432,387,45,92,14,2,21,173,61,2,1,0,2,40,1,3,125,9,0.238,0.447,0.313
,野上　亮磨,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,野田　昇吾,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,バスケス,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,バンヘッケン,10,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0.333,0.333,0.333
,藤原　良平,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,ポーリーノ,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
,本田　圭佑,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,牧田　和久,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,誠,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,増田　達至,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,松本　直晃,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,水口　大地,20,6,6,5,3,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0.500,0.500,0.500
,南川　忠亮,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,メヒア,137,583,511,73,129,26,0,35,260,103,1,1,0,7,59,4,6,148,15,0.252,0.509,0.333
*,森　友哉,107,392,349,43,102,20,0,10,152,46,1,1,0,1,42,0,0,96,3,0.292,0.436,0.367
,山川　穂高,49,157,139,24,36,4,0,14,82,32,0,0,2,0,15,0,1,36,1,0.259,0.590,0.335
,渡辺　直人,70,207,181,18,56,3,2,0,63,16,1,0,11,2,10,0,3,20,5,0.309,0.348,0.352