No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考,
81,三浦　大輔,監督,,1973.12.25,,,,,,
11,東　克樹,投手,支配下選手,1995.11.29,170,76,左,左,,
12,阪口　皓亮,投手,支配下選手,1999.08.15,187,86,右,左,,
13,伊勢　大夢,投手,支配下選手,1998.03.07,182,90,右,右,,
14,石田　健大,投手,支配下選手,1993.03.01,180,85,左,左,,
16,大貫　晋一,投手,支配下選手,1994.02.03,181,73,右,右,,
17,三嶋　一輝,投手,支配下選手,1990.05.07,176,80,右,左右,,
19,山﨑　康晃,投手,支配下選手,1992.10.02,179,88,右,右,,
20,坂本　裕哉,投手,支配下選手,1997.07.28,180,85,左,左,,
21,今永　昇太,投手,支配下選手,1993.09.01,178,83,左,左,,
22,入江　大生,投手,支配下選手,1998.08.26,187,87,右,右,,
24,齋藤　俊介,投手,支配下選手,1994.01.07,176,85,右,右,,
26,濵口　遥大,投手,支配下選手,1995.03.16,173,80,左,左,,
27,上茶谷　大河,投手,支配下選手,1996.08.31,182,83,右,右,,
28,勝又　温史,投手,支配下選手,2000.05.22,180,80,右,左,,
30,飯塚　悟史,投手,支配下選手,1996.10.11,188,90,右,左,,
34,平田　真吾,投手,支配下選手,1989.08.29,182,85,右,右,,
35,三上　朋也,投手,支配下選手,1989.04.10,190,90,右,右,,
40,松本　隆之介,投手,支配下選手,2002.07.31,188,88,左,左,,
41,櫻井　周斗,投手,支配下選手,1999.06.25,178,86,左,左,,
42,ロメロ,投手,支配下選手,1994.12.24,183,104,右,右,,
43,進藤　拓也,投手,支配下選手,1992.07.16,186,90,右,右,,
45,ピープルズ,投手,支配下選手,1991.09.05,196,86,右,右,,
46,田中　健二朗,投手,支配下選手,1989.09.18,179,80,左,左,6/15 育成選手から支配下選手へ移行,
47,砂田　毅樹,投手,支配下選手,1995.07.20,180,85,左,左,,
48,京山　将弥,投手,支配下選手,1998.07.04,182,77,右,右,,
49,シャッケルフォード,投手,支配下選手,1989.04.07,196,95,右,右,4/23 育成選手から支配下選手へ移行,
53,池谷　蒼大,投手,支配下選手,1999.08.02,175,80,左,左,,
54,浅田　将汰,投手,支配下選手,2001.04.23,182,87,右,右,,
56,髙田　琢登,投手,支配下選手,2002.09.18,178,78,左,左,,
58,武藤　祐太,投手,支配下選手,1989.06.14,178,85,右,右,,
59,平良　拳太郎,投手,支配下選手,1995.07.12,180,80,右,右,,
62,エスコバー,投手,支配下選手,1992.04.22,188,102,左,左,,
64,風張　蓮,投手,支配下選手,1993.02.26,182,88,右,右,,
67,有吉　優樹,投手,支配下選手,1991.03.12,178,87,右,右,6/14 ロッテより移籍,
92,国吉　佑樹,投手,支配下選手,1991.09.24,196,106,右,右,6/14 ロッテへ移籍,
93,中川　虎大,投手,支配下選手,1999.10.02,178,85,右,右,,
94,笠井　崇正,投手,支配下選手,1994.08.07,179,90,右,右,,
10,戸柱　恭孝,捕手,支配下選手,1990.04.11,179,90,右,左,,
29,伊藤　光,捕手,支配下選手,1989.04.23,180,83,右,右,,
32,益子　京右,捕手,支配下選手,2000.12.27,176,86,右,右,,
36,髙城　俊人,捕手,支配下選手,1993.05.03,176,83,右,右,,
39,嶺井　博希,捕手,支配下選手,1991.06.04,175,85,右,右,,
50,山本　祐大,捕手,支配下選手,1998.09.11,180,87,右,右,,
57,東妻　純平,捕手,支配下選手,2001.07.03,172,81,右,右,,
0,中井　大介,内野手,支配下選手,1989.11.27,183,90,右,右,,
2,牧　秀悟,内野手,支配下選手,1998.04.21,178,93,右,右,,
4,伊藤　裕季也,内野手,支配下選手,1996.08.30,182,90,右,右,,
5,倉本　寿彦,内野手,支配下選手,1991.01.07,180,85,右,左,,
6,森　敬斗,内野手,支配下選手,2002.01.28,175,78,右,左,,
9,大和,内野手,支配下選手,1987.11.05,177,77,右,右,,
31,柴田　竜拓,内野手,支配下選手,1993.12.16,167,68,右,左,,
38,田中　俊太,内野手,支配下選手,1993.08.18,178,82,右,左,,
44,小深田　大地,内野手,支配下選手,2003.03.25,178,88,右,左,,
51,宮﨑　敏郎,内野手,支配下選手,1988.12.12,172,85,右,右,,
55,田部　隼人,内野手,支配下選手,2001.12.22,185,83,右,右,,
60,知野　直人,内野手,支配下選手,1999.02.16,182,85,右,右,,
66,山下　幸輝,内野手,支配下選手,1993.01.31,174,85,右,左,,
99,ソト,内野手,支配下選手,1989.02.28,185,97,右,右,,
0,宮本　秀明,外野手,支配下選手,1996.07.24,178,82,右,左,,
1,桑原　将志,外野手,支配下選手,1993.07.21,174,78,右,右,,
7,佐野　恵太,外野手,支配下選手,1994.11.28,178,88,右,左,,
8,神里　和毅,外野手,支配下選手,1994.01.17,179,81,右,左,,
23,オースティン,外野手,支配下選手,1991.09.06,188,100,右,右,,
33,乙坂　智,外野手,支配下選手,1994.01.06,183,83,右,左,,
37,楠本　泰史,外野手,支配下選手,1995.07.07,180,82,右,左,,
52,細川　成也,外野手,支配下選手,1998.08.04,179,93,右,右,,
61,蝦名　達夫,外野手,支配下選手,1997.09.20,185,88,右,右,,
63,関根　大気,外野手,支配下選手,1995.06.28,173,78,左,左,,
100,宮城　滝太,投手,育成選手,2000.07.15,181,80,右,右,,
101,石川　達也,投手,育成選手,1998.04.15,178,73,左,右,,
102,加藤　大,投手,育成選手,2002.04.24,177,81,右,右,,
106,宮國　椋丞,投手,育成選手,1992.04.17,186,88,右,右,3/15 育成選手登録,
107,コルデロ,投手,育成選手,1997.12.18,189,88,左,左,,
109,ディアス,投手,育成選手,1999.06.10,191,93,左,左,,
110,スターリン,投手,育成選手,1998.07.21,201,100,右,右,,
108,デラロサ,内野手,育成選手,1996.01.24,188,92,右,左右,,